epoch,Seg_Loss,Overall_Acc,Mean_IOU,Overall_Dice,ROC_AUC,excluded,slice_view,pretrained_model,data_type,uid,loss,blacklist,model,lr,date_time,augmentation_params,shape,model_path,studies,excluded_from_training,remove_black_slices,with_blacklist,blacklist_dir,irsabi_dice_mean,irsabi_dice_std,data_dimension_format,with_arranged_mask,experiment_duration,config_path,func_training_dir
103.0,0.048506002,0.976763354,0.916061171,0.9227884340000001,0.9343620440000001,,coronal,False,anat,46344602-63d7-4854-b2d1-7b4a447d2203,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-08 17:20:31.943122,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0, 0, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5)","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/with_augmentations_anat_new/103_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,,,,,,,,,
122.0,0.047351267999999995,0.977746752,0.920049992,0.9259223040000001,0.939770456,,coronal,False,anat,944e3c9f-0908-4505-9917-babb7807a72c,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-09 08:59:19.543600,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0, 0, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5)","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/with_augmentations_anat_new/122_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,,,,,,,,,
110.0,0.041512546000000004,0.980292002,0.929240517,0.93698694,0.948821884,,coronal,False,func,56b9cbe9-62fb-425a-be33-82d92726d6d9,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-09 16:03:21.878669,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0, 0, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5)","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/with_augmentations_func_new/110_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,,,,,,,,,
104.0,0.041539563,0.9798932840000001,0.9273892659999999,0.9351635309999999,0.9446528409999999,,coronal,False,anat,4fd825322e4e4677b92430d881be2000,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-14 21:11:04.265575,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='mlebe')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-14_anat_dice_loss_mlebe1/104_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,True,~/docsrc/mlebe/data/Blacklist,0.88402742,0.209074103,"x,y,z",,,,
141.0,0.042888987,0.9790052309999999,0.9239265529999999,0.9309664940000001,0.9399983909999999,,coronal,False,anat,54bae9dad9964d91a26b286ee9171efd,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 00:10:11.873912,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='mlebe')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-14_anat_dice_loss_mlebe2/141_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,False,~/docsrc/mlebe/data/Blacklist,0.889603073,0.20493961300000002,"x,y,z",,,,
111.0,0.043949660999999994,0.978376969,0.9218772,0.92985454,0.9397583490000001,,coronal,False,anat,4b2b017dc4f84da4a5185efb4b29ce90,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 02:26:32.001980,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='mlebe')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-15_anat_dice_loss_normalize_medic1/111_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,True,~/docsrc/mlebe/data/Blacklist,0.884713729,0.19979239,"x,y,z",,,,
111.0,0.044026712999999995,0.9787716870000001,0.9232180720000001,0.930220345,0.940158367,,coronal,False,anat,546b41c284954b4db1080bbf23d7bda0,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 04:51:01.228183,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='mlebe')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-15_anat_dice_loss_normalize_medic2/111_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,False,~/docsrc/mlebe/data/Blacklist,0.887829888,0.20408225100000002,"x,y,z",,,,
107.0,0.043937631,0.978459634,0.922887465,0.9307881729999999,0.943700051,,coronal,False,func,ff757e7c2170488b8cfce45654909ca1,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 07:42:32.456532,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='mlebe')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-15_func_dice_loss_mlebe1/107_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,False,~/docsrc/mlebe/data/Blacklist,0.885520465,0.209202405,,,,,
110.0,0.04227129,0.979455865,0.9257549979999999,0.933584117,0.942887604,,coronal,False,anat,63803a252bba46a8b8d006775ff7faa2,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 16:37:37.503941,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='normalize_medic')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-15_anat_dice_loss_normalize_medic_blacklist True2/110_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,True,~/docsrc/mlebe/data/Blacklist,0.875711472,0.22858764,"x,y,z",False,,,
119.0,0.04121118,0.9798464029999999,0.927793878,0.9354820909999999,0.9480018990000001,,coronal,False,func,1356e9432cbb4556ac070abb50c0510d,dice_loss,False,unet_pct_multi_att_dsv,0.0001,2020-06-15 19:44:27.571771,"X(shift_val=[0.01, 0.01], rotate=20, scale_val=[1, 1], max_deform=[0.1, 0.1, 0], random_flip_prob=0.5, random_affine_prob=0.5, random_elastic_prob=0, scale_size=[64, 64, 96, 1], random_noise_prob=0.5, normalization='normalize_medic')","[64, 64, 96, 1]",/home/hendrik/src/MLEBE/mlebe/training/checkpoints/2020-06-15_func_dice_loss_normalize_medic_blacklist False1/119_net_unet_pct_multi_att_dsv.pth,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz', 'irsabi_dargcc']",irsabi,False,False,~/docsrc/mlebe/data/Blacklist,0.884434171,0.213887952,,False,,,
